id,bubble_id,last_synced_at,created_at,updated_at,total_amount,created_date,record_month,linked_user,modified_date,linked_invoice,created_by,all_full_on_date,achieved_tier_bonus
1,1735617108174x237373945109734530,2025-09-12T07:48:55.592Z,2025-09-12T07:48:55.592Z,2025-09-12T07:48:55.592Z,0,2024-12-31T03:51:48.179Z,2024-04-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:48.328Z,"[""1712736034915x476169635624648700""]",non_authenticated_user_eternalgy_live,,
2,1735617108621x190685208466820260,2025-09-12T07:48:55.597Z,2025-09-12T07:48:55.597Z,2025-09-12T07:48:55.597Z,114496,2024-12-31T03:51:48.628Z,2024-05-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:48.716Z,"[""1712585254637x489686136593842200"", ""1712593811703x656073421494157300"", ""1714567927051x978386656123420700""]",non_authenticated_user_eternalgy_live,,
3,1735617108920x501652739454330430,2025-09-12T07:48:55.601Z,2025-09-12T07:48:55.601Z,2025-09-12T07:48:55.601Z,,2024-12-31T03:51:48.926Z,2024-06-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:48.989Z,,non_authenticated_user_eternalgy_live,,
4,1735617109187x323782101426914700,2025-09-12T07:48:55.605Z,2025-09-12T07:48:55.605Z,2025-09-12T07:48:55.605Z,60000,2024-12-31T03:51:49.193Z,2024-07-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:49.256Z,"[""1720606189691x548715938780807200""]",non_authenticated_user_eternalgy_live,,
5,1735617109436x842187019688436900,2025-09-12T07:48:55.619Z,2025-09-12T07:48:55.619Z,2025-09-12T07:48:55.619Z,,2024-12-31T03:51:49.447Z,2024-08-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:49.514Z,,non_authenticated_user_eternalgy_live,,
6,1735617109697x652662489491231440,2025-09-12T07:48:55.623Z,2025-09-12T07:48:55.623Z,2025-09-12T07:48:55.623Z,,2024-12-31T03:51:49.703Z,2024-09-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:49.776Z,,non_authenticated_user_eternalgy_live,,
7,1735617109965x746260448065768200,2025-09-12T07:48:55.627Z,2025-09-12T07:48:55.627Z,2025-09-12T07:48:55.627Z,58000,2024-12-31T03:51:49.972Z,2024-10-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:50.043Z,"[""1727066171621x530958629144100860""]",non_authenticated_user_eternalgy_live,,
8,1735617110234x529365747704956000,2025-09-12T07:48:55.632Z,2025-09-12T07:48:55.632Z,2025-09-12T07:48:55.632Z,,2024-12-31T03:51:50.239Z,2024-11-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:50.305Z,,non_authenticated_user_eternalgy_live,,
9,1735617110571x224129959492707080,2025-09-12T07:48:55.636Z,2025-09-12T07:48:55.636Z,2025-09-12T07:48:55.636Z,,2024-12-31T03:51:50.576Z,2024-12-01 00:00:00+00,1694841884344x199367695393808400,2024-12-31T03:51:50.640Z,,non_authenticated_user_eternalgy_live,,
10,1735617146441x108902388036774320,2025-09-12T07:48:55.642Z,2025-09-12T07:48:55.642Z,2025-09-12T07:48:55.642Z,,2024-12-31T03:52:26.446Z,2024-04-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:26.511Z,,non_authenticated_user_eternalgy_live,,
11,1735617146737x640996486566587100,2025-09-12T07:48:55.645Z,2025-09-12T07:48:55.645Z,2025-09-12T07:48:55.645Z,26435,2024-12-31T03:52:26.746Z,2024-05-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:26.826Z,"[""1714033536826x256308694605103100""]",non_authenticated_user_eternalgy_live,,
12,1735617147030x797382041301664200,2025-09-12T07:48:55.651Z,2025-09-12T07:48:55.651Z,2025-09-12T07:48:55.651Z,,2024-12-31T03:52:27.035Z,2024-06-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:27.106Z,,non_authenticated_user_eternalgy_live,,
13,1735617147297x898626156678109600,2025-09-12T07:48:55.659Z,2025-09-12T07:48:55.659Z,2025-09-12T07:48:55.659Z,,2024-12-31T03:52:27.302Z,2024-07-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:27.384Z,,non_authenticated_user_eternalgy_live,,
14,1735617147587x980897881076329600,2025-09-12T07:48:55.664Z,2025-09-12T07:48:55.664Z,2025-09-12T07:48:55.664Z,,2024-12-31T03:52:27.592Z,2024-08-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:27.671Z,,non_authenticated_user_eternalgy_live,,
15,1735617147882x963782657556613500,2025-09-12T07:48:55.671Z,2025-09-12T07:48:55.671Z,2025-09-12T07:48:55.671Z,230652,2024-12-31T03:52:27.887Z,2024-09-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:27.956Z,"[""1725201365111x794385382919635000"", ""1725672791551x168204170720706560"", ""1725674535818x586310348750716900"", ""1726034149930x977894049487257600"", ""1726034742190x764555092643020800"", ""1726821319317x147338566751748100""]",non_authenticated_user_eternalgy_live,,
16,1735617148138x482795399825100000,2025-09-12T07:48:55.677Z,2025-09-12T07:48:55.677Z,2025-09-12T07:48:55.677Z,52116.55,2024-12-31T03:52:28.148Z,2024-10-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:28.213Z,"[""1729603209340x935182989813350400"", ""1729685178700x406946098927894500""]",non_authenticated_user_eternalgy_live,,
17,1735617148473x707336090982289700,2025-09-12T07:48:55.683Z,2025-09-12T07:48:55.683Z,2025-09-12T07:48:55.683Z,,2024-12-31T03:52:28.479Z,2024-11-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:28.564Z,,non_authenticated_user_eternalgy_live,,
18,1735617148771x231315477141945200,2025-09-12T07:48:55.688Z,2025-09-12T07:48:55.688Z,2025-09-12T07:48:55.688Z,27156,2024-12-31T03:52:28.776Z,2024-12-01 00:00:00+00,1705563151420x807895867406405100,2024-12-31T03:52:28.856Z,"[""1733564636244x765025032045068300""]",non_authenticated_user_eternalgy_live,,
19,1735617150365x592826131002377900,2025-09-12T07:48:55.692Z,2025-09-12T07:48:55.692Z,2025-09-12T07:48:55.692Z,22200,2024-12-31T03:52:30.370Z,2024-04-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:30.436Z,"[""1713015322658x772107105087520800""]",non_authenticated_user_eternalgy_live,,
20,1735617150607x373984214189774200,2025-09-12T07:48:55.701Z,2025-09-12T07:48:55.701Z,2025-09-12T07:48:55.701Z,,2024-12-31T03:52:30.613Z,2024-05-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:30.676Z,,non_authenticated_user_eternalgy_live,,
21,1735617150861x282949505989682500,2025-09-12T07:48:55.708Z,2025-09-12T07:48:55.708Z,2025-09-12T07:48:55.708Z,32195.16,2024-12-31T03:52:30.865Z,2024-06-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:30.927Z,"[""1718101334333x295804743793246200""]",non_authenticated_user_eternalgy_live,,
22,1735617151110x912445353911590100,2025-09-12T07:48:55.714Z,2025-09-12T07:48:55.714Z,2025-09-12T07:48:55.714Z,,2024-12-31T03:52:31.115Z,2024-07-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:31.184Z,,non_authenticated_user_eternalgy_live,,
23,1735617151412x993586436197220600,2025-09-12T07:48:55.719Z,2025-09-12T07:48:55.719Z,2025-09-12T07:48:55.719Z,24666,2024-12-31T03:52:31.417Z,2024-08-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:31.532Z,"[""1722841499202x163026824548843520""]",non_authenticated_user_eternalgy_live,,
24,1735617151741x879916148506785400,2025-09-12T07:48:55.723Z,2025-09-12T07:48:55.723Z,2025-09-12T07:48:55.723Z,90115.22,2024-12-31T03:52:31.746Z,2024-09-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:31.820Z,"[""1725948891852x386200195817537540"", ""1727586629691x372462994598133760"", ""1727712138454x771455461181358100""]",non_authenticated_user_eternalgy_live,,
25,1735617152028x562670624360982460,2025-09-12T07:48:55.727Z,2025-09-12T07:48:55.727Z,2025-09-12T07:48:55.727Z,168092,2024-12-31T03:52:32.034Z,2024-10-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:32.119Z,"[""1728736899341x464089498119831550"", ""1729159851337x285129323641569280"", ""1729330689098x507474752264470500"", ""1729331027249x482420003647258600"", ""1730384633957x842846184560132100""]",non_authenticated_user_eternalgy_live,,
26,1735617152301x143895043129419920,2025-09-12T07:48:55.733Z,2025-09-12T07:48:55.733Z,2025-09-12T07:48:55.733Z,68433.39999999999,2024-12-31T03:52:32.305Z,2024-11-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:32.372Z,"[""1730375232763x555757597579542500"", ""1730735277258x818487535431843800"", ""1732429092337x813828259175727100""]",non_authenticated_user_eternalgy_live,,
27,1735617152540x565937982324298050,2025-09-12T07:48:55.741Z,2025-09-12T07:48:55.741Z,2025-09-12T07:48:55.741Z,165442.89,2024-12-31T03:52:32.546Z,2024-12-01 00:00:00+00,1705557637059x292766633570082050,2024-12-31T03:52:32.627Z,"[""1730875466420x421497206218948600"", ""1733404189471x560109009818877950"", ""1734350705250x906217442542092300"", ""1735401308675x604758810241007600"", ""1735402159336x561610563126296600"", ""1735487946766x856162696745451500""]",non_authenticated_user_eternalgy_live,,
28,1735617154180x679395253066235300,2025-09-12T07:48:55.752Z,2025-09-12T07:48:55.752Z,2025-09-12T07:48:55.752Z,,2024-12-31T03:52:34.185Z,2024-04-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:34.248Z,,non_authenticated_user_eternalgy_live,,
29,1735617154506x589860795221142100,2025-09-12T07:48:55.756Z,2025-09-12T07:48:55.756Z,2025-09-12T07:48:55.756Z,,2024-12-31T03:52:34.514Z,2024-05-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:34.577Z,,non_authenticated_user_eternalgy_live,,
30,1735617154772x271699405589018720,2025-09-12T07:48:55.759Z,2025-09-12T07:48:55.759Z,2025-09-12T07:48:55.759Z,,2024-12-31T03:52:34.777Z,2024-06-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:34.845Z,,non_authenticated_user_eternalgy_live,,
31,1735617155030x797443213757473700,2025-09-12T07:48:55.767Z,2025-09-12T07:48:55.767Z,2025-09-12T07:48:55.767Z,,2024-12-31T03:52:35.036Z,2024-07-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:35.098Z,,non_authenticated_user_eternalgy_live,,
32,1735617155282x704721129191976400,2025-09-12T07:48:55.771Z,2025-09-12T07:48:55.771Z,2025-09-12T07:48:55.771Z,,2024-12-31T03:52:35.290Z,2024-08-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:35.363Z,,non_authenticated_user_eternalgy_live,,
33,1735617155547x393442469492700800,2025-09-12T07:48:55.778Z,2025-09-12T07:48:55.778Z,2025-09-12T07:48:55.778Z,,2024-12-31T03:52:35.552Z,2024-09-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:35.616Z,,non_authenticated_user_eternalgy_live,,
34,1735617155817x498675998989669200,2025-09-12T07:48:55.785Z,2025-09-12T07:48:55.785Z,2025-09-12T07:48:55.785Z,,2024-12-31T03:52:35.823Z,2024-10-01 00:00:00+00,1705563140333x593203138592086700,2024-12-31T03:52:35.889Z,,non_authenticated_user_eternalgy_live,,
